Order_ID,Order_Date,Order_Month,Region,Channel,Customer_ID,Product_Category,Product,Units,Unit_Price,Discount_Pct,Shipping_Cost,COGS_Unit,Returned_Flag,Payment_Method,Gross_Revenue,Discount_Amount,Net_Revenue,COGS,Gross_Profit
O2025000001,2025-01-01,2025-01-01,West,Marketplace,C10687,Sports,Running Belt,1,23.99,0.05,3.39,10.21,1,Card,23.99,1.2,22.79,10.21,9.19
O2025000002,2025-01-02,2025-01-01,Southwest,Marketplace,C10166,Apparel,Socks Pack,2,23.3,0.06,7.4,11.0,0,Card,46.6,2.8,43.8,22.0,14.4
O2025000003,2025-01-02,2025-01-01,Southeast,Website,C10884,Apparel,Athletic Tee,1,20.38,0.12,4.27,12.12,0,Card,20.38,2.45,17.93,12.12,1.54
O2025000004,2025-01-02,2025-01-01,West,Website,C10832,Pet,Dog Treats,3,19.42,0.21,2.5,9.17,0,Apple Pay,58.26,12.23,46.03,27.51,16.02
O2025000005,2025-01-02,2025-01-01,Southeast,Website,C10692,Home,Vacuum Filter,1,43.69,0.06,5.58,21.98,0,Afterpay,43.69,2.62,41.07,21.98,13.51
O2025000006,2025-01-02,2025-01-01,West,Retail Partner,C10842,Beauty,Hair Mask,1,29.95,0.03,3.67,14.58,1,Afterpay,29.95,0.9,29.05,14.58,10.8
O2025000007,2025-01-02,2025-01-01,Northeast,Website,C10305,Electronics,Bluetooth Speaker,1,48.13,0.18,4.14,26.52,0,Card,48.13,8.66,39.47,26.52,8.81
O2025000008,2025-01-03,2025-01-01,Northeast,Website,C10642,Pet,Pet Shampoo,2,13.64,0.08,2.5,7.33,0,Card,27.28,2.18,25.1,14.66,7.94
O2025000009,2025-01-03,2025-01-01,West,Retail Partner,C10283,Sports,Yoga Mat,1,29.54,0.13,1.98,14.02,0,Card,29.54,3.84,25.7,14.02,9.7
O2025000010,2025-01-03,2025-01-01,Midwest,Website,C10795,Apparel,Leggings,5,20.6,0.16,5.09,11.25,0,PayPal,103.0,16.48,86.52,56.25,25.18
O2025000011,2025-01-03,2025-01-01,Northeast,Marketplace,C10131,Electronics,Portable Charger,1,58.7,0.05,2.5,30.02,0,Card,58.7,2.94,55.76,30.02,23.24
O2025000012,2025-01-04,2025-01-01,Midwest,Website,C10689,Electronics,Wireless Earbuds,3,76.21,0.06,7.2,36.28,0,Card,228.63,13.72,214.91,108.84,98.87
O2025000013,2025-01-05,2025-01-01,Southeast,Website,C10428,Sports,Resistance Bands,5,13.2,0.05,7.16,6.27,0,PayPal,66.0,3.3,62.7,31.35,24.19
O2025000014,2025-01-05,2025-01-01,Midwest,Website,C10588,Pet,Chew Toy,1,20.75,0.12,5.04,10.22,0,Card,20.75,2.49,18.26,10.22,3.0
O2025000015,2025-01-05,2025-01-01,Southwest,Retail Partner,C10749,Electronics,Wireless Earbuds,2,59.88,0.13,4.36,29.39,0,Card,119.76,15.57,104.19,58.78,41.05
O2025000016,2025-01-05,2025-01-01,West,Website,C10672,Electronics,Wireless Earbuds,1,57.15,0.05,5.07,22.96,0,PayPal,57.15,2.86,54.29,22.96,26.26
O2025000017,2025-01-05,2025-01-01,Northeast,Website,C10310,Home,Storage Bins,1,47.65,0.12,3.32,19.21,0,Card,47.65,5.72,41.93,19.21,19.4
